Date	Transfection.Type	Cell.Label	Temperature	Std	IntDen	cellID
191205	GFP-V60	A	31.8	249.31933	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	32.1	248.35126	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	32.5	251.60545	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	32.9	254.50528	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	33.3	257.18279	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	33.6	258.71912	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	34.1	262.6487	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	34.6	243.70767	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	34.9	248.38411	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	35.3	248.3822	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	35.5	247.23773	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	35.9	244.58132	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	36.3	243.77973	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	36.9	238.59596	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	37.2	222.64873	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	37.6	224.79467	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	37.9	230.67023	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	38.3	231.1947	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	38.6	230.08532	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	38.9	228.7629	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	39.3	234.97945	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	39.6	234.20087	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	39.9	234.46826	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	40.1	245.96515	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	40.3	276.95636	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	40.5	275.09827	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	40.7	296.82529	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	40.9	340.59447	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	41.1	353.12819	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	41.3	338.53724	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	41.4	366.12128	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	41.5	352.61435	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	41.6	375.44744	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	41.8	414.3979	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	41.9	430.54903	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	42.1	483.79981	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	42.2	492.12777	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	42.4	433.4907	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	42.5	449.82921	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	42.7	400.47736	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	42.9	414.54023	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	43.1	396.9767	83376.01181	191205.GFP-V60.A
191205	GFP-V60	A	43.3	357.44021	83376.01181	191205.GFP-V60.A
191205	GFP-V60	B	19.4	177.73786	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	19.5	171.08981	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	19.6	176.60007	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	19.7	177.34841	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	19.8	178.32235	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	19.9	176.64795	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	20.1	181.20121	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	20.3	181.53083	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	20.5	177.33125	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	20.7	173.07607	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	20.9	179.60817	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	21.1	174.38749	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	21.3	176.63287	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	21.5	171.0744	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	21.7	179.93174	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	21.9	181.26667	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	22.1	181.07679	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	22.5	178.7724	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	22.7	171.68097	83043.53112	191205.GFP-V60.B
